标志,ID,人物,内容,跳转,先决条件,效果,空
#,0,ce,“哈哈哈哈，前一千份联名版全让我买回来了。”,1,,,
#,1,kown,“额，博士你不会是抢劫来的吧。”,2,,,
#,2,ce,“哪有，我是第一个排队到的，周围的人和辉光公司的人都同意我买一千份呢。”,3,,,
#,3,ce,“让我好好体验一下这16Pro。”,4,,,
#,4,,叮叮叮,5,,,
#,5,,“嗯？有来信啊，真不是时候。”,6,,,
#,6,kown,“信是什么，这个装置又是干什么的。”,7,,,
#,7,ce,“这是信箱，是记忆游戏的道具，用药物改变记忆，或者是改变自己的人格。”,8,,,
#,8,ce,“这样就可以体验到很多新奇的事情，也算给自己经历生死了吧。”,9,,,
#,9,ce,“这是从地球延续下来的叫法，不管是信或者是灵魂，我喜欢这些叫法，所以我给它们这么取名了。”,10,,,
#,10,kown,“为什么这么做。”,11,,,
#,11,ce,“你是机器人，你没有灵魂，你是不会知道的。”,12,,,
#,12,ce,“亿万年的记忆，会雕刻人的灵魂，把痛苦直插入到内心的最深处。”,13,,,
#,13,ce,“我也曾对抗过，但……”,14,,,
#,14,kown,……,15,,,
#,15,ce,“来吧，让我看看这份记忆是什么。”,16,,,
#,16,ce,“咳咳。”,17,,,
#,17,ce,“又是件烂事？”,18,,,
#,18,kown,“发生什么了，博士。”,19,,,
#,19,ce,“前世的我把星系联盟的电站炸了，他拜托我制作无尽能源给他们补偿，不然我就会被他们抓起来审判。”,20,,,
#,20,kown,“哦，那可真是……”,21,,,
#,21,ce,“啊，前世的我怎么这么不靠谱啊。”,22,,,
#,22,ce,“哎，来飞船，准备动身去收集素材了。”,23,,,
End,23,,,,,40/42/56/69,
