标志,ID,人物,内容,跳转,先决条件,效果,空
#,0,kown,“博士？”,1,,,
#,1,ce,“哦，这是哪？”,3,,,
#,2,kown,“你没事吧，博士。”,3,,,
#,3,ce,“你是谁啊，还有……我是谁？为什么都想不起来了。”,4,,,
&,4,ce,你是我的奴隶。,5,,,
&,4,ce,你需要好好睡一觉，博士。,13,,,
#,5,ce,“奴隶？怎么可能？”,6,,,
#,6,kown,“或许得给你点苦头了。”,7,,,
#,7,,滋滋滋,8,,,
#,8,ce,“啊！！”,9,,,
#,9,kown,“你是我从地球上买的奴隶，你懂了吗，不要耍你的小聪明！”,10,,,
#,10,ce,“知道了，啊，别电了！”,11,,,
#,11,kown,“呵呵呵呵，哈哈哈哈。”,12,,,
End,12,,,,,80,
#,13,ce,“什么睡一觉？”,14,,,
#,14,kown,“你想找回记忆吧，这是记忆机器。”,15,,,
#,15,ce,“我凭什么相信你？”,16,,,
#,16,kown,“你失去了记忆，但是你还有灵魂可以自问，博士。”,17,,,
#,17,ce,“……，好吧，睡一觉就可以恢复记忆了吧。”,18,,,
#,18,kown,“嗯，博士，好梦。”,19,,,
#,19,kown,“再见，博士，或者，永不再见。”,20,,,
End,20,,,,,81,
