标志,ID,人物,内容,跳转,先决条件,效果,空
#,0,总司令,“ce，鉴于你犯下的罪行，我们将提取你的记忆，找到修复电站的方法，然后将你处以死刑，这就是联盟对你的审判，你有什么异议吗？”,1,,,
#,1,ce,“提取我的记忆？呵，你痴心妄想！你想窥探神明？”,2,,,
#,2,总司令,“开始疯言疯语了吗？你只是没见过我们的手段。”,3,,,
#,3,总司令,“特工-虫，进行意识深潜。”,4,,,
#,4,特工虫,“是！”,5,,,
#,5,潜入机器,已潜入,6,,,
#,6,ce,“额，呃……啊啊啊！！”,7,,,
#,7,总司令,“哼，除了修复电站的方法，ce，我要把你所有的，记忆里所有的宝藏都弄到手。”,8,,,
#,8,士兵丙,“不好了司令，之前逃走的机器人杀回来了。”,9,,,
#,9,总司令,“不过是个机器人……”,10,,,
#,10,士兵丙,“我们的探测仪显示，它搭载的武器，相当危险，有着……宇宙级的当量。”,11,,,
#,11,总司令,“宇宙级？有意思，告诉它，ce还在我们这，它不敢贸然动手的。”,12,,,
#,12,kown,“救出，博士。”,13,,,
#,13,士兵丙,“站住，机器人，ce还在我们这，轻举妄动的话，我们可保证不了他的安全。”,14,,,
#,14,kown,“协议三，保护博士，现在实行停火战略。”,15,,,
#,15,士兵丙,“总司令，看来用ce威胁它有用，它停下来了。”,16,,,
#,16,总司令,“拆了它，把有用的全弄下来，没用的全砸了。”,17,,,
#,17,总司令,“要是它反抗的话，就继续用ce威胁。”,18,,,
#,18,士兵丙,“是！”,19,,,
#,19,kown,“检测到威胁，协议二，启动防护罩。”,20,,,
#,20,士兵丙,“好硬……喂，机器人，不想ce死的话，给我解开防护罩，让我们乖乖拆掉啊！！”,21,,,
#,21,kown：,“协议三，保护博士，关闭防护罩。”,22,,,
#,22,士兵丙,“呵，ce的狗，还真是听话啊！！”,23,,,
#,23,士兵丙,真难拆啊,24,,,
#,24,总司令,“记忆挖掘还没好吗？”,25,,,
#,25,科学家,“虫被困住了，我们应该向里面派送支援。”,26,,,
#,26,总司令,“特工-鼠和鲨，你们一起上。”,27,,,
#,27,潜入机器,警告，探测到潜入风险,28,,,
#,28,ce,“额、额，啊……呃……”,29,,,
#,29,科学家,“来了来了，资料传上来了。”,30,,,
#,30,士兵丙,“司令，拆解快完成了，拆下来很多装甲和武器，不过，貌似主武器的东西实在是拆不下来。”,31,,,
#,31,总司令,“很好。”,32,,,
#,32,科学家,“资料上传也完成了，除了修复电站的知识，其他有用的东西几乎爆盘啊。“,33,,,
#,33,总司令,“太棒了。”,34,,,
#,34,科学家,“不过，三个特工都没能回来，他们的意识死在深潜里了。”,35,,,
#,35,总司令,“那ce呢。“,36,,,
#,36,科学家,“还活着，不过貌似承受不了自己的记忆，已经疯了。”,37,,,
#,37,总司令,“真是可惜，带他过去，来一次团聚吧，呵呵呵，哈哈哈哈！”,38,,,
#,38,kown,……,39,,,
#,39,总司令,“小机器人 ，看看我把谁带来了？”,40,,,
#,40,kown,“博士……”,41,,,
#,41,ce,“呜，呜额，是你吗，kown。”,42,,,
#,42,kown,……,43,,,
#,43,ce,“kown，kown，呜啊，kown。”,44,,,
#,44,总司令,“真是有趣的光景。”,45,,,
#,45,ce,“杀了我吧，kown，杀了我。”,46,,,
#,46,kown,“协议三。”,47,,,
#,47,ce,“杀了我，杀了我，呜啊，啊啊啊啊！杀了我！”,48,,,
#,48,kown,……,49,,,
#,49,总司令,“哈哈哈哈！不错啊，真不错啊！”,50,,,
#,50,kown,……,51,,,
#,51,ce,“kown……kown……”,52,,,
#,52,kown,……,53,,,
#,53,kown,协议一，遵从命令。,54,,,
#,54,kown,终极武器启动,55,,,
#,55,总司令,总司令：”那是什么？“,56,,,
#,56,科学家,“我不知道，能量波动已经超出检测范围了。”,57,,,
#,57,总司令,“可恶，快给我想办法。”,58,,,
#,58,科学家,“那是，哦，天哪，那是热寂武器，它放出的激波会把所到之处的任何能量转化为光能，范围是……整个宇宙。“,59,,,
#,59,总司令,“快让它停下。”,60,,,
#,60,科学家,“呵呵呵，不行的，司令，我们的末日，不，整个宇宙的末日都来了，ce这就是你说的神明吗，呵呵呵呵。”,61,,,
#,61,总司令,“可恶，可恶啊！”,62,,,
#,62,,嘭,63,,,
End,63,,,,,78,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
