标志,ID,人物,内容,跳转,先决条件,效果,空
#,0,ce,“哦，呃，啧，kown，你是不是没把咖啡煮熟，头好晕。”,1,,,
#,1,,叮叮叮,2,,,
#,2,ce,“正好，来信了，把信吃了，我能清醒一些。”,3,,,
#,3,kown,“信是什么，这个装置又是干什么的。”,4,,,
#,4,ce,“这是信箱，是记忆游戏的道具，用药物改变记忆，或者是改变自己的人格。”,5,,,
#,5,ce,“这样就可以体验到很多新奇的事情，也算给自己经历生死了吧。” ,6,,,
#,6,ce,“不过每次‘死去’，可能会产生新人格，也可能旧的人格想重新回来，这取决于灵魂的强度。”,7,,,
#,7,ce,“这是从地球延续下来的叫法，不管是信或者是灵魂，我喜欢这些叫法，所以我给它们这么取名了。”,8,,,
#,8,kown,“为什么这么做。”,9,,,
#,9,ce,“你是机器人，你没有灵魂，你是不会知道的。”,10,,,
#,10,kown,“亿万年的记忆，会雕刻人的灵魂，把痛苦直插入到内心的最深处。”,11,,,
#,11,ce,“我也曾对抗过，但……”,12,,,
#,12,ce,“来吧，让我看看这份记忆是什么。”,13,,,
#,13,ce,“咳咳。”,14,,,
#,14,ce,“又是件烂事？”,15,,,
#,15,kown,“发生什么了，博士。”,16,,,
#,16,ce,“前世的我把星系联盟的电站炸了，他拜托我制作无尽能源给他们补偿，不然我就会被他们抓起来审判。”,17,,,
#,17,kown,“哦，那可真是……”,18,,,
#,18,ce,“啊，前世的我怎么这么不靠谱啊。”,19,,,
#,19,ce,“哎，来飞船，准备动身去收集素材了。”,20,,,
End,20,,,,,55/56,
