标志,ID,人物,内容,跳转,先决条件,效果,空
#,0,kown,“咖啡来了，这次肯定比上次泡的好喝。”,1,,,
#,1,ce,“真的？让我试试。”,2,,,
#,2,ce,“咳咳！”,3,,,
#,3,ce,“怎么会，咖啡怎么会这么辣。”,4,,,
#,4,ce,“怎么会……头疼，记忆，涌进来……”,5,,,
#,5,kown,“你没事吧，博士。”,6,,,
#,6,ce,“哦，我，我没事。”,7,,,
#,7,kown,“或许你需要一些医疗检查。”,8,,,
#,8,ce,“你别过来！！”,9,,,
#,9,ce,“额，我是说，不需要，我很好。”,10,,,
#,10,kown,……,11,,,
#,11,ce,“好吧，好吧，我只是……觉得这一切都够了。”,12,,,
#,12,ce,“kown，我要给你安装终极武装。”,13,,,
#,13,kown,“什么？博士。那不是宇宙级别的武器吗，我想你需要再多思考和准备一下。”,14,,,
#,14,ce,“闭嘴，kown，这不是请求之类的东西，懂吗。”,15,,,
#,15,kown,……,16,,,
#,16,ce,……,17,,,
#,17,ce,“好吧，放轻松，这会很快过去的，之后我们会回归日常。”,18,,,
#,18,,安装完成,19,,,
#,19,ce,“这会占用你大部分的算力，你可能会变得难以思考。”,20,,,
#,20,ce,“不过不用担心，你只需要，听我的命令。”,21,,,
#,21,kown,“是。”,22,,,
#,22,ce,“很好，准备为星系联盟献上一场烟火秀吧。”,23,,,
End,23,,,,,66,
