标志,ID,人物,内容,跳转,先决条件,效果,空
#,0,士兵甲,“是ce！！”,1,,,
#,1,士兵乙,“快点通知长官！！”,2,,,
#,2,士兵丙,“进入黄色警戒！！”,3,,,
#,3,ce,“你们是什么玩意，正式的名字都没有，在这大惊小叫。”,4,,,
#,4,ce,“我要进去。“,5,,,
#,5,士兵甲,“不行，ce，你现在是特殊黄名人员。“,6,,,
#,6,士兵甲,“我们已经通知了长官，请您在此等候。”,7,,,
#,7,ce,“你就不怕我杀掉你们闯进去吗？”,8,,,
#,8,士兵甲,“不建议你那样做，那对我们都不好。”,9,,,
#,9,士兵乙,“ce大人，我们只是拿钱卖命的，还请大人大发慈悲。”,10,,,
#,10,士兵丙,“在你的大话之前，呵，ce，或许我们会赢。”,11,,,
#,11,ce,“你们你能不能不要一人一句啊，刚刚算我开的玩笑行吗，叫你们长官快点。”,12,,,
#,12,长官,“看看这是谁啊？吼吼，你还知道来啊！”,13,,,
#,13,长官,“ce，你来为你犯下的错忏悔了吗？呵呵。”,14,,,
#,14,下士,“你小子，还知道来，不怕逾期了，我们把你抓走审判吗？”,15,,,
#,15,ce,“嘁，这是你们要的货。”,16,,,
#,16,长官,“我看看，嗯……下士，你怎么看？”,17,,,
#,17,下士,“我也不知道，大人，不过我看这小子应该不敢耍鬼。”,18,,,
#,18,长官,“咳咳，ce，等我们回去验货，货正，你的黄名会被消掉，货不对的话，你会变成红名，被我们联盟通缉，你懂吗？”,19,,,
#,19,下士,“你懂吗？”,20,,,
#,20,ce,“知道了，没事我走了。”,21,,,
#,21,下士,“长官，我们是不是可以邀功啊。”,22,,,
#,22,长官,“你给我小声点。”,23,,,
#,23,ce,“走吧，kown。”,24,,,
End,24,,,,,68,
