标志,ID,人物,内容,跳转,先决条件,效果,空
#,0,士兵甲,“是ce！！”,1,,,
#,1,士兵乙,“快点通知长官！！”,2,,,
#,2,士兵丙,“进入黄色警戒！！”,3,,,
#,3,ce,“你们是什么玩意，正式的名字都没有，在这大惊小叫。”,4,,,
#,4,ce,“我要进去。”,5,,,
#,5,士兵甲,“不行，ce，你现在是特殊黄名人员。”,6,,,
#,6,士兵甲,“我们已经通知了长官，请您在此等候。”,7,,,
#,7,ce,“你就不怕我杀掉你们闯进去吗？”,8,,,
#,8,士兵甲,“不建议你那样做，那对我们都不好。”,9,,,
#,9,士兵乙,“ce大人，我们只是拿钱卖命的，还请大人大发慈悲。”,10,,,
#,10,士兵丙,“在你的大话之前，呵，ce，或许我们会赢。”,11,,,
#,11,ce,“你们你能不能不要一人一句啊，刚刚算我开的玩笑行吗，叫你们长官快点。”,12,,,
#,12,长官,“看看这是谁啊？吼吼，你还知道来啊！”,13,,,
#,13,长官,“ce，你来为你犯下的错忏悔了吗？呵呵。”,14,,,
#,14,下士,“你小子，还知道来，不怕逾期了，我们把你抓走审判吗？”,15,,,
#,15,ce：,“抱歉，刚才开了个玩笑。”,16,,,
#,16,长官,“什么东西。”,17,,,
#,17,ce：,“我刚刚说会杀掉你们，抱歉了，那是……”,18,,,
#,18,ce,“真的！！！”,19,,,
#,19,kown,“开火！！”,20,,,
#,20,ce,“哈哈哈哈！！”,21,,,
#,21,下士,“啊啊啊啊啊！长官，我不想死啊。”,22,,,
#,22,士兵们,“啊！！”,23,,,
#,23,长官,“靠，ce疯了，撤退！！”,24,,,
#,24,下士,“我中弹了！！长官，我要死了！！”,25,,,
#,25,长官,“放开我啊，狗东西。”,26,,,
#,26,下士,“啊！！”,27,,,
#,27,长官,“你们这些家伙，都给我顶上去，掩护我撤退。” ,28,,,
#,28,,突突突,29,,,
#,29,ce,“真不错，都杀完了，一次性炸掉实在是可惜，不过，我赶时间。”,30,,,
#,30,战士,“他在那！！红色警戒，实施a战术！！” ,31,,,
#,31,ce,“不错啊，哈哈哈哈，完美的游戏！！”,32,,,
#,32,ce,“怎么，啧，这么多啊，我玩腻了。”,33,,,
#,33,ce,“全炸掉吧！！”,34,,,
#,34,kown,“堡垒级重炮启动，充能中。”,35,,,
#,35,ce,“捂住耳朵！呵呵，开个玩笑而已，渣滓们，捂住耳朵可没什么用。”,36,,,
#,36,,嘭,37,,,
#,37,,……,38,,,
#,38,ce,“无聊……”,39,,,
#,39,ce,“回去吧。”,40,,,
End,40,,,,,68,
