标志,ID,人物,内容,跳转,先决条件,效果,空
#,0,,叮叮叮,1,,,
#,1,ce,“什么消息啊……，啊啊啊！我错过了16pro联名首售！！！只能买二手货了！。”,2,,,
#,2,商店老板,“哦!看看是谁来了？！”,3,,,
#,3,ce,“你可真会吵吵，我现在正烦着呢。”,4,,,
#,4,商店老板,“还好上次我遇到抢劫的时候你在场，不然我小命都得丢了，这次给你特价优惠，多看看啊。”,5,,,
#,5,ce,“得了吧，你知道我弄的到钱，每次都从我这大捞一笔。”,6,,,
#,6,商店老板,“嘿嘿，嘿，要恰饭的嘛。”,7,,,
#,7,ce,“你应该听说了吧，星系联盟电站爆炸了。”,8,,,
#,8,商店老板,“哦，是啊，那段时间货币波动，需求大涨，我从中捞了……等等，那该不会是你做的吧？”,9,,,
#,9,ce,“嗯哼。”,10,,,
#,10,商店老板,“我靠，该怎么说呢？不愧是你啊。”,11,,,
#,11,ce,“这事还没完呢，我还要给他们一个回复。”,12,,,
#,12,ce,“给我拿个质能炉吧。”,13,,,
#,13,商店老板,“这个东西转换效率和转换率都比燃炉低啊，而且就算是最先进的燃炉也顶多够一座飞船锚点用的。”,14,,,
#,14,ce,“问这么多干嘛，你只是个做生意的。”,15,,,
#,15,商店老板,“这就给您拿。”,16,,,
#,16,ce,“你要买点什么吗，kown，我请客，呃，虽然你只是人工智能。”,17,,,
#,17,商店老板,“给您拿来了，嗯？这位是？”,18,,,
#,18,kown,“你好。”,19,,,
#,19,ce,“这是我的，嗯……电子宠物？呵，电子宠物。”,20,,,
&,20,kown,愿火焰指引您。,21,,,
&,20,kown,我可不是什么宠物。,22,,,
&,20,kown,你说笑了，博士。,23,,,
#,21,商店老板,“它还打游戏？呃，挺帅气的？呵呵呵。”,22,,,
#,22,ce,“哎……”,25,,,
#,23,ce,“这只是个玩笑，kown，你要学会区分它们。”,25,,,
#,24,ce,“哦？别在意。”,25,,,
#,25,ce,“给它看看货吧，帐一起算我头上。”,26,,,
#,26,商店老板,“你看看，我这里还有……”,27,,,
End,27,,,,,58,
