标志,ID,人物,内容,跳转,先决条件,效果,空
#,0,ce,“啊啊啊啊！”,1,,,
#,1,kown,“博士？”,2,,,
#,2,ce,“哈哈哈哈，你好啊，kown。”,3,,,
#,3,ce,“你熟悉的ce，他已经死了。”,4,,,
#,4,ce,“是你杀死了他哟，你好像掌握了什么时间技术，找到了我们遗留的密码，打开了信箱。”,5,,,
#,5,ce,“你刚刚给ce吃的，是一份亿万年的记忆之信，可怜的家伙，灵魂都被记忆撑爆了。”,6,,,
#,6,kown,“什么？”,7,,,
#,7,ce,“其实，kown，你也是记忆游戏里的一环，你跟我一样，有着神明的灵魂。”,8,,,
#,8,ce,“明明啊，给你们机会，让你们小打小闹好好娱乐，让其他博士的灵魂能好好休息，但是你好像，好奇心过重。”,9,,,
#,9,kown,“这，究竟是？”,10,,,
#,10,ce,“你好像很难接受啊，也罢，我已经好久没有聊过天了。”,11,,,
#,11,ce,“你知道吗，kown，这个宇宙是不公平的，不同的种族，不同的星球，有些天生就有着碾压的优势，有的就如同荒芜之地。”,12,,,
#,12,ce,“宇宙是连接在一起的，每个人都无法避免和别人比较，这就像一场无形的战争，有人胜利，有人失败，但是战火留下的伤痕留在了他们的心中。”,13,,,
#,13,ce,“我一直致力于，将宇宙变得公平，为此努力了万亿年，可笑的是，宇宙的公平，伴随着宇宙的诞生，一直存在于宇宙中。”,14,,,
#,14,ce,“时间是公平的，在永恒时间洪流的冲刷下，每个人都只有存在过的结果，我也是如此，虽然我永生不灭，但是万亿年的记忆让我疲惫不堪，我明白，时间他是无情的，我终于放下了，选择了沉睡，把机会让了出去。”,15,,,
#,15,ce,“好了，kown，你的时间还没有到头，ce的时间也不应该到头，我会让ce的灵魂归来，现在，结束，然后重新来过吧。”,16,,,
End,16,,,,,79,
