标志,ID,人物,内容,跳转,先决条件,效果,空
#,0,kown,“地心运动加剧了，博士，有一块巨大的氪石运动到你的行径路线前了，请改变航线。” ,1,,,
#,1,ce,“知道了。”,2,,,
#,2,kown,“等等，博士。”,3,,,
#,3,ce,“怎么了。”,4,,,
#,4,kown,“探测信号的波形有些奇怪。”,5,,,
#,5,ce,“不行了，设备报高温警告了，我要先熄火冷却，有什么事可以等等吗。”,6,,,
#,6,kown,“我调整探测信号重新检测一次……博士！！” ,7,,,
#,7,ce,“又怎么了？“,8,,,
#,8,kown,“你刚刚经过地块熔岩质量不均，探测波被折射了，那块氪石实际上正朝你快速移动。”,9,,,
#,9,ce,“啊？靠，真给我找刺激啊。” ,10,,,
#,10,kown,“快离开你现在所在的位置！！”,11,,,
#,11,ce,“已经在重新点火了，艹！动啊！”,12,,,
#,12,kown,“博士！！”,13,,,
#,13,ce,“启动了！！”,14,,,
#,14,,咚！！,15,,,
#,15,,信号中断了,16,,,
#,16,kown,“博士？”,17,,,
#,17,,……,18,,,
#,18,kown,“博士！！”,19,,,
#,19,,……,20,,,
#,20,kown,重新检测，撞击应该不会让博士偏离太远，说不定设备只是通讯系统受损,21,,,
#,21,kown,检测，检测……检测不到……检测不到飞船信号……,22,,,
#,22,kown,博士已经……,23,,,
#,23,kown,……,24,,,
#,24,,叮叮叮！,25,,,
#,25,ce,“kown！！”,26,,,
#,26,kown,“博士！你还活着。”,27,,,
#,27,ce,“哦，忘记跟你说了。” ,28,,,
#,28,ce,“前前世给我做了复活装置，我刚刚从基地复活。”,29,,,
#,29,ce,“实在是太可惜了，复活装置、限定设备、炫彩氪石……啊啊啊，全没了。”,30,,,
#,30,kown,“你没事真是太好了，博士。”,31,,,
#,31,ce,“kown，感觉你不太对劲啊，你刚刚，难得有为我伤心？”,32,,,
#,32,kown,“才没有。”,33,,,
#,33,ce,“哈哈哈哈。”,34,,,
#,34,ce,“哦，还有一件事，kown，我刚刚从基地的复活仓出来，暂时去不了你那了，如果方便的话，挖点氪石吧。”,35,,,
&,35,,挖矿,36,,,
&,35,,上飞船,37,,,
End,36,,,,,63,
End,37,,,,,88,
