标志,ID,人物,内容,跳转,先决条件,效果,空
#,0,kown,“咖啡来了，这次肯定比上次泡的好喝。”,1,,,
#,1,ce,“真的？让我试试。”,2,,,
#,2,ce,“嗯。”,3,,,
#,3,kown,“怎么样？”,4,,,
#,4,ce,“嗯~”,5,,,
#,5,kown,“到底怎么样啊，玩我呢？”,6,,,
#,6,ce,“勉强吧，有比上次好喝点。”,7,,,
#,7,kown,“嘁。” ,8,,,
#,8,ce,“给你看这个，我称它为，无尽能源！”,9,,,
#,9,kown,“不就是，质能反应堆吗。”,10,,,
#,10,ce,“这可不是一般的反应堆，它输出功率高，效率高，超强可控，最重要的是，它是我做的，绝对的优品啊。“,11,,,
#,11,kown,“还不是有上一辈的博士……”,12,,,
#,12,ce,“你说什么？”,13,,,
#,13,kown,“呵呵呵，没什么呢。”,14,,,
#,14,ce,“总之，把它交给银河联盟，电站的问题就解决了，去拜访银河联盟吧。”,15,,,
#,15,kown,银河联盟，它是什么样的呢，总有不好的感觉。,16,,,
End,16,,,,,66,
