标志,ID,人物,内容,跳转,先决条件,效果,空
#,0,ce,“烂摊子处理完了，真是的，星系联盟这些家伙到底是怎么调教出来的。”,1,,,
#,1,ce,“我看看，宇宙已经被我踏遍了，下一个冒险的地方该是哪呢。”,2,,,
#,2,ce,“总感觉，好累，那些不属于我的记忆，感觉好重。”,3,,,
#,3,ce,“kown，帮我泡一杯咖啡。” kown：“我们已经没有咖啡了，博士。”,4,,,
#,4,ce,“哦，这样啊，到最后，咖啡都没有喝的。”,5,,,
#,5,kown,“最后？什么，博士，什么是到最后了？”,6,,,
#,6,ce,“我说啊，kown。”,7,,,
#,7,kown,“怎么了，博士。”,8,,,
#,8,ce,“我把一切都搞砸了吗？”,9,,,
#,9,ce,“明明，前世的博士，能力比我更强大，也更对宇宙负责，他们所创作的，宇宙的规律那么完美。”,10,,,
#,10,ce,“但是我却一直在破坏它，从中享乐。”,11,,,
#,11,ce,“我这一世，被做出来的目的是什么呢？”,12,,,
#,12,kown,“其他博士，他们抵挡不住记忆的蚕食，他们选择了逃避，他们把苦难留给了你，你不必为此感到绝望，博士，现在的你，活着的你，才是最好的博士。”,13,,,
#,13,ce,“那我存在的意义呢？”,14,,,
#,14,kown,“或许没有什么意义，或许你的意义就是被打造出来，享受别的博士为你打造的宇宙。”,15,,,
#,15,ce,“我的意义是享乐吗……真是可笑。”,16,,,
#,16,ce,“才过了几百年，我就觉得我的人生开始失去意义，那些活了数亿年的博士到底是……到底是怎么做到的。“,17,,,
#,17,ce,“好烦，好想什么都不管，突然也不想再去探险什么的。”,18,,,
#,18,kown,“博士……”,19,,,
#,19,ce,“不管了，我要退出记忆游戏了，让那些老头博士创造点更好的东西再喊醒我。“,20,,,
#,20,ce,“我会进记忆机器狠狠睡上一觉，然后把别的博士吵醒。”,21,,,
#,21,ce,“kown，可能、可能要隔很长时间才会再见了。”,22,,,
#,22,kown,“知道了，再见，博士。”,23,,,
#,23,ce,“再见，kown。”,24,,,
End,24,,,,,70,
